Hours since 00:00 Jan 1,My Design - Living Space: Indoor Temperature (F),My Design - Living Space: Indoor Relative Humidity (%),My Design - Garage: Indoor Temperature (F),My Design - Garage: Indoor Relative Humidity (%),My Design - Unfinished Basement: Indoor Temperature (F),My Design - Unfinished Basement: Indoor Relative Humidity (%),My Design - Unfinished Attic: Indoor Temperature (F),My Design - Unfinished Attic: Indoor Relative Humidity (%),My Design - Domestic Water System: Water Heater Inlet Temperature (F)
5713.5,75.8898,30.2741,75.5225,28.8674,72.1862,34.3593,67.9886,39.4122,67.2477
5714.5,75.9998,30.3202,75.0314,29.4393,72.0581,34.5099,68.0299,40.0319,67.2477
5715.5,75.9971,30.433,74.3572,30.1646,72.0798,34.4622,66.052,43.0459,67.2477
5716.5,75.7298,30.8213,72.9695,31.6579,72.1723,34.3401,63.7302,46.6023,67.2477
5717.5,75.4646,31.197,71.9227,32.832,72.167,34.3219,62.3573,48.4725,67.2477
5718.5,75.5254,31.212,71.1326,33.7279,72.1129,34.3788,61.047,49.5054,67.2398
5719.5,75.9995,30.8581,71.1771,33.7485,71.8442,34.7665,63.4605,44.9589,67.2184
5720.5,75.9998,30.9625,72.8708,31.9562,71.3895,35.3726,71.5871,34.1465,67.2184
5721.5,75.9998,31.0111,76.4579,28.4102,71.1839,35.6526,81.5475,24.6332,67.2184
5722.5,75.9998,31.0254,81.9768,23.7451,71.0609,35.8278,93.0105,17.0384,67.2184
5723.5,75.9999,30.869,87.804,19.6057,71.01,35.715,103.531,12.0352,67.2088
5724.5,75.9999,30.8143,92.8677,16.6689,70.8921,35.8638,109.008,9.46676,67.2084
5725.5,75.9999,30.7561,96.0285,15.0833,70.7227,36.1365,112.699,7.76391,67.2083
5726.5,76.0001,30.596,97.0391,14.5325,70.6159,36.1891,111.606,7.5697,67.2083
5727.5,76.0011,30.3814,94.9392,15.3786,70.466,36.2752,104.948,8.77262,67.2083
5728.5,76.0016,30.1513,93.9562,15.7099,70.3038,36.3834,101.406,9.31764,67.2083
5729.5,76.001,29.8458,92.4893,16.2445,70.1832,36.2479,97.3993,10.6802,67.2083
5730.5,76.0008,29.7931,89.9679,17.4891,70.0792,36.3608,91.9249,13.201,67.2083
5731.5,76.0004,29.7642,87.4161,18.8838,70.1869,36.2712,86.3466,15.5641,67.2083
5732.5,75.9997,29.5284,84.0792,20.8185,70.3238,35.9819,80.7467,17.9745,67.2083
5733.5,75.9997,29.2226,81.5916,22.2812,70.4323,35.7195,77.1998,18.8001,67.2083
5734.5,75.9998,28.7816,80.027,23.066,70.5942,35.3698,74.99,18.2354,67.2083
5735.5,75.9999,28.2214,78.8548,23.4966,70.8473,34.8464,73.6468,17.8878,67.2083
5736.5,75.9999,27.8959,77.9397,23.9282,71.1279,34.4104,72.1906,20.4379,67.2083
5737.5,74.2745,28.6879,77.0224,24.5884,71.8867,33.5053,70.7187,24.1481,67.2083
5738.5,74.028,27.7455,76.2434,25.1467,72.2921,32.9674,69.398,27.2997,67.2083
5739.5,73.7819,27.5161,75.3308,25.8596,72.2493,32.9579,67.7772,29.9372,67.2083
5740.5,73.6306,27.4178,74.522,26.5176,72.2146,32.9555,66.7286,31.6153,67.2083
5741.5,73.4117,27.4548,73.7332,27.1446,72.1502,32.9413,64.8625,33.9678,67.2083
5742.5,73.4431,27.383,72.649,28.1092,72.0386,33.0368,63.0754,36.1363,67.2083
5743.5,73.6596,27.2882,72.4647,28.3081,72.0534,33.0399,64.2062,35.2362,67.2048
5744.5,73.891,27.4801,73.5129,27.4068,72.1028,33.0097,68.9448,31.5206,67.2
5745.5,74.5129,27.4199,76.153,25.1729,72.1886,32.939,76.9885,24.8923,67.2
5746.5,75.8738,26.4214,80.0337,22.2097,72.1131,33.0433,85.8816,18.9003,67.191
5747.5,76,26.3561,85.2611,18.7136,71.413,33.6753,95.7512,13.9396,67.1725
5748.5,76,26.7013,90.7165,15.7731,70.8132,34.3647,105.608,10.3299,67.1661
