ts,V_ideal,V_age,ne_ideal,ne_age,Soc_ideal,Soc_age,Lka_H2,nch,P_togrid,P_service,f
2019-04-29 02:36:15.447258,1.6929321552493497,1.6929321941382387,0.8754576698527264,0.8754576497423072,21.099999999999998,21.099999999999998,6.847834882647451e-07,65.15447154209353,-106.2426156990749,-103.16594903240834,59.893
2019-04-29 02:36:16.447258,1.6929278986923073,1.692927976470085,0.875459871030646,0.8754598308096063,21.099999999999998,21.099999999999998,1.36959417843855e-06,65.15437917123913,-106.2383743346839,-106.2383743346839,59.994
2019-04-29 02:36:17.447258,1.6929236480200611,1.692923764686728,0.8754620691764282,0.875462008844567,21.099999999999998,21.099999999999998,2.054432068316782e-06,65.15428671137829,-106.23413930521569,-106.23413930521569,59.997
2019-04-29 02:36:18.447258,1.6929194032024542,1.6929195587580097,0.8754642643056224,0.8754641838627394,21.099999999999998,21.099999999999998,2.7392971556966585e-06,65.15419416303594,-106.22991057816974,-106.22991057816974,60.0
2019-04-29 02:36:19.447258,1.6929151642503064,1.692915358694751,0.8754664564125878,0.8754663558584828,21.099999999999998,21.099999999999998,3.4241894383772394e-06,65.15410152603015,-106.22568816447911,-106.22568816447911,59.994
2019-04-29 02:36:20.447258,1.6929109311539472,1.6929111644872805,0.8754686455022801,0.8754685248367534,21.099999999999998,21.099999999999998,4.109108914159429e-06,65.1540088005324,-106.22147205336006,-106.22147205336006,59.996
2019-04-29 02:36:21.447258,1.6929067039037033,1.6929069761259257,0.8754708315796561,0.8754706908025085,21.099999999999998,21.099999999999998,4.794055580845971e-06,65.15391598671418,-106.21726223402844,-106.21726223402844,59.994
2019-04-29 02:36:22.447258,1.6929024824898997,1.6929027936010108,0.8754730146496742,0.8754728537607068,21.099999999999998,21.099999999999998,5.479029436241452e-06,65.15382308474696,-106.21305869570014,-106.21305869570014,59.993
2019-04-29 02:36:23.447258,1.6928982669028594,1.6928986169028595,0.8754751947172937,0.8754750137163081,21.099999999999998,21.099999999999998,6.164030478152289e-06,65.15373009480221,-106.20886142759068,-106.20886142759068,59.993
2019-04-29 02:36:24.447258,1.692894057153397,1.692894446042286,0.8754773717768768,0.875477170663675,21.099999999999998,21.099999999999998,6.849058704386734e-06,65.15363701669808,-106.2046704406329,-106.2046704406329,59.992
2019-04-29 02:36:25.447258,1.6928898532215866,1.6928902809993644,0.8754795458386833,0.8754793246130677,21.099999999999998,21.099999999999998,7.534114112754874e-06,65.15354385078265,-106.20048571318367,-106.20048571318367,59.991
2019-04-29 02:36:26.447258,1.6928856551079932,1.6928861217746598,0.8754817169023763,0.8754814755641497,21.099999999999998,21.099999999999998,8.219196701068623e-06,65.1534505970507,-106.19630724531696,-106.19630724531696,59.989
2019-04-29 02:36:27.447258,1.6928814627926851,1.6928819683482408,0.8754838849782187,0.8754836235271842,21.099999999999998,21.099999999999998,8.904306467141725e-06,65.15335725585045,-106.19213501538911,-106.19213501538911,59.991
2019-04-29 02:36:28.447258,1.6928772762762252,1.6928778207206696,0.8754860500658753,0.8754857685018367,21.099999999999998,21.099999999999998,9.589443408789746e-06,65.15326382717664,-106.18796902347391,-106.18796902347391,59.992
2019-04-29 02:36:29.447258,1.6928730955591742,1.6928736788925076,0.8754882121650114,0.8754879104877725,21.099999999999998,21.099999999999998,1.0274607523830078e-05,65.15317031102404,-106.18380926964502,-106.18380926964502,59.994
2019-04-29 02:36:30.447258,1.6928689206318437,1.6928695428540659,0.8754903712805931,0.8754900494899587,21.099999999999998,21.099999999999998,1.0959798810081932e-05,65.15307670756413,-106.17965574311717,-106.17965574311717,59.991
2019-04-29 02:36:31.447258,1.6928647514845434,1.6928654125956546,0.875492527417588,0.8754921855133625,21.099999999999998,21.099999999999998,1.164501726536634e-05,65.15298301696834,-106.1755084331051,-106.1755084331051,59.995
2019-04-29 02:36:32.447258,1.692860588107581,1.692861288107581,0.8754946805809641,0.8754943185629532,21.099999999999998,21.099999999999998,1.2330262887506149e-05,65.15288923940813,-106.17136732882327,-106.17136732882327,59.994
2019-04-29 02:36:33.447258,1.6928564305015117,1.6928571693904007,0.8754968307703909,0.8754964486383998,21.099999999999998,21.099999999999998,1.301553567432602e-05,65.15279537487825,-106.16723243034481,-106.16723243034481,59.997
2019-04-29 02:36:34.447258,1.6928522786463895,1.6928530564241673,0.8754989779961394,0.8754985757499746,21.099999999999998,21.099999999999998,1.3700835623652427e-05,65.15270142372684,-106.16310371602515,-106.16310371602515,59.997
2019-04-29 02:36:35.447258,1.6928481325530176,1.6928489492196843,0.8755011222525793,0.8755006998920469,21.099999999999998,21.099999999999998,1.4386162733313655e-05,65.15260738577203,-106.15898119679616,-106.15898119679616,59.996
2019-04-29 02:36:36.447258,1.692843992211697,1.6928448477672524,0.8755032635446826,0.8755028210695899,21.099999999999998,21.099999999999998,1.5071517001139794e-05,65.1525132611852,-106.15486486187193,-105.59153152853868,59.951
2019-04-29 02:36:37.447258,1.692839857602476,1.6928407520469204,0.8755054018827245,0.8755049392928785,21.099999999999998,21.099999999999998,1.5756898424962744e-05,65.15241905031449,-106.15075468960724,-106.15075468960724,60.032
2019-04-29 02:36:38.447258,1.6928357287361542,1.6928366620694875,0.8755075372610763,0.8755070545562849,21.099999999999998,21.099999999999998,1.6442307002616206e-05,65.15232475297802,-106.14665069093385,-106.14665069093385,59.982
2019-04-29 02:36:39.447258,1.692831605592776,1.6928325778149982,0.8755096696900155,0.8755091668700865,21.099999999999998,21.099999999999998,1.7127742731935678e-05,65.15223036952383,-106.14255284420629,-105.53588617753981,59.95
