,Event_Start_Time,Event_End_Time,Response_to_Request_Ratio,Response_MeetReqOrMax_Index_number,Event_Duration_mins,Response_After10minToEnd_To_First10min_Ratio,Requested_MW,Responded_MW_at_10minOrEnd,Shortfall_MW,Response_0min_Min_MW,Response_10minOrEnd_Max_MW,Response_After10minToEnd_MW,SRMCP_DollarsperMWh_DuringEvent,SRMCP_DollarsperMWh_SinceLastEvent,Service_Value_NotInclShortfall_dollars,Service_Value_InclShortfall_dollars,Period_from_Last_Event_Hours
2017-01-08 03:21:00,2017-01-08 03:21:00,2017-01-08 03:28:00,1.0000000000000004,0.0,7.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,10.175833333333333,1.089186046511628,10.175833333333333,10.175833333333333,3.466666666666667
2017-01-09 19:24:00,2017-01-09 19:24:00,2017-01-09 19:33:00,1.0000000000000004,0.0,9.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,9.397916666666667,10.596829268292684,9.397916666666665,9.397916666666665,16.083333333333332
2017-01-10 13:05:00,2017-01-10 13:05:00,2017-01-10 13:14:00,1.0000000000000004,0.0,9.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,2.6933333333333334,5.964736842105263,2.6933333333333334,2.6933333333333334,17.683333333333334
2017-01-15 20:13:00,2017-01-15 20:13:00,2017-01-15 20:21:00,1.0000000000000004,0.0,8.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,0.8620833333333334,1.214296875,0.8620833333333333,0.8620833333333333,7.116666666666666
2017-01-23 09:08:00,2017-01-23 09:08:00,2017-01-23 09:15:00,1.0000000000000004,0.0,7.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,0.16291666666666668,1.1956043956043958,0.16291666666666665,0.16291666666666665,12.9
2017-02-13 18:30:00,2017-02-13 18:30:00,2017-02-13 18:37:00,1.0000000000000004,0.0,7.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,2.7095833333333332,0.8495114006514658,2.709583333333333,2.709583333333333,18.616666666666667
2017-02-14 00:11:00,2017-02-14 00:11:00,2017-02-14 00:17:00,1.0000000000000004,0.0,6.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,1.5899999999999999,6.01857142857143,1.5899999999999999,1.5899999999999999,5.666666666666667
2017-02-15 06:37:00,2017-02-15 06:37:00,2017-02-15 06:43:00,1.0000000000000004,0.0,6.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,1.3175,1.3458064516129031,1.3175,1.3175,6.433333333333334
2017-03-23 06:48:00,2017-03-23 06:48:00,2017-03-23 07:12:00,1.0,0.0,24.0,1.0000000000000004,0.20000000000000007,0.20000000000000007,0,0.0,0.20000000000000007,0.20000000000000015,1.1820833333333332,2.263314606741573,1.1820833333333336,1.1820833333333336,7.2
2017-04-08 11:53:00,2017-04-08 11:53:00,2017-04-08 12:03:00,1.0000000000000004,0.0,10.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,4.087083333333333,2.9305,4.087083333333333,4.087083333333333,12.05
2017-05-08 04:18:00,2017-05-08 04:18:00,2017-05-08 04:28:00,1.0000000000000004,0.0,10.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,4.285833333333334,2.825202312138728,4.285833333333333,4.285833333333333,4.466666666666667
2017-06-08 15:29:00,2017-06-08 15:29:00,2017-06-08 15:39:00,1.0000000000000004,0.0,10.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,2.0087499999999996,0.8542391304347826,2.0087499999999996,2.0087499999999996,15.65
2017-06-20 17:38:00,2017-06-20 17:38:00,2017-06-20 17:47:00,1.0000000000000004,0.0,9.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,0.4825,1.6272164948453607,0.48249999999999993,0.48249999999999993,2.1333333333333333
2017-09-04 20:03:00,2017-09-04 20:03:00,2017-09-04 20:18:00,1.0000000000000002,0.0,15.0,1.0000000000000002,0.20000000000000004,0.20000000000000007,0,0.0,0.20000000000000007,0.2000000000000001,0.8491666666666667,0.4568817204301075,0.849166666666667,0.849166666666667,20.3
2017-09-07 09:16:00,2017-09-07 09:16:00,2017-09-07 09:25:00,1.0000000000000004,0.0,9.0,,0.19999999999999998,0.20000000000000007,0,0.0,0.20000000000000007,,0.041666666666666664,0.42693548387096775,0.04166666666666666,0.04166666666666666,13.116666666666667
2017-09-21 14:15:00,2017-09-21 14:15:00,2017-09-21 14:31:00,1.0000000000000002,0.0,16.0,1.0000000000000002,0.20000000000000004,0.20000000000000007,0,0.0,0.20000000000000007,0.2000000000000001,47.609583333333326,4.946900584795322,47.60958333333334,47.60958333333334,5.1
