,Event_Start_Time,Event_End_Time,Response_to_Request_Ratio,Response_MeetReqOrMax_Index_number,Event_Duration_mins,Response_After10minToEnd_To_First10min_Ratio,Requested_MW,Responded_MW_at_10minOrEnd,Shortfall_MW,Response_0min_Min_MW,Response_10minOrEnd_Max_MW,Response_After10minToEnd_MW,SRMCP_DollarsperMWh_DuringEvent,SRMCP_DollarsperMWh_SinceLastEvent,Service_Value_NotInclShortfall_dollars,Service_Value_InclShortfall_dollars,Period_from_Last_Event_Hours,Period_from_Last_Event_Days
2017-01-08 03:21:00,2017-01-08 03:21:00,2017-01-08 03:28:00,0.9999999999999997,0.0,7.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,10.175833333333333,1.089186046511628,10.17583333333333,10.17583333333333,171.46666666666667,7.144444444444445
2017-01-09 19:24:00,2017-01-09 19:24:00,2017-01-09 19:33:00,0.9999999999999997,0.0,9.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,9.397916666666667,10.596829268292684,9.397916666666664,9.397916666666664,40.083333333333336,1.670138888888889
2017-01-10 13:05:00,2017-01-10 13:05:00,2017-01-10 13:14:00,0.9999999999999997,0.0,9.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,2.6933333333333334,5.964736842105263,2.6933333333333325,2.6933333333333325,17.683333333333334,0.7368055555555556
2017-01-15 20:13:00,2017-01-15 20:13:00,2017-01-15 20:21:00,0.9999999999999997,0.0,8.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,0.8620833333333334,1.214296875,0.8620833333333332,0.862083333333333,127.11666666666666,5.2965277777777775
2017-01-23 09:08:00,2017-01-23 09:08:00,2017-01-23 09:15:00,0.9999999999999997,0.0,7.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,0.16291666666666668,1.1956043956043958,0.16291666666666663,0.16291666666666632,180.9,7.5375000000000005
2017-02-13 18:30:00,2017-02-13 18:30:00,2017-02-13 18:37:00,0.9999999999999997,0.0,7.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,2.7095833333333332,0.8495114006514658,2.7095833333333323,2.709583333333332,513.3666666666667,21.39027777777778
2017-02-14 00:11:00,2017-02-14 00:11:00,2017-02-14 00:17:00,0.9999999999999997,0.0,6.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,1.5899999999999999,6.01857142857143,1.5899999999999992,1.5899999999999992,5.666666666666667,0.23611111111111113
2017-02-15 06:37:00,2017-02-15 06:37:00,2017-02-15 06:43:00,0.9999999999999997,0.0,6.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,1.3175,1.3458064516129031,1.3174999999999994,1.3174999999999994,30.433333333333334,1.2680555555555555
2017-03-23 06:48:00,2017-03-23 06:48:00,2017-03-23 07:12:00,0.9999999999999993,0.0,24.0,0.9999999999999999,0.20000000000000007,0.19999999999999993,1.3877787807814457e-16,0.0,0.19999999999999993,0.1999999999999999,1.1820833333333332,2.263314606741573,1.1820833333333327,1.1820833333333258,864.4833333333333,36.02013888888889
2017-04-08 11:53:00,2017-04-08 11:53:00,2017-04-08 12:03:00,0.9999999999999997,0.0,10.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,4.087083333333333,2.9305,4.087083333333331,4.08708333333333,388.85,16.202083333333334
2017-05-08 04:18:00,2017-05-08 04:18:00,2017-05-08 04:28:00,0.9999999999999997,0.0,10.0,,0.19999999999999998,0.19999999999999993,5.551115123125783e-17,0.0,0.19999999999999993,,4.285833333333334,2.825202312138728,4.285833333333332,4.285833333333329,712.4166666666666,29.684027777777775
2017-06-08 15:29:00,2017-06-08 15:29:00,2017-06-08 15:39:00,0.9999999999999999,9.0,10.0,,0.19999999999999998,0.19999999999999996,2.7755575615628914e-17,0.0,0.19999999999999996,,2.0087499999999996,0.8542391304347826,2.008749999999999,2.0087499999999987,755.1833333333333,31.46597222222222
2017-06-20 17:38:00,2017-06-20 17:38:00,2017-06-20 17:47:00,0.9999999999999999,0.0,9.0,,0.19999999999999998,0.19999999999999996,2.7755575615628914e-17,0.0,0.19999999999999996,,0.4825,1.6272164948453607,0.4824999999999999,0.48249999999999954,290.1333333333333,12.088888888888889
2017-09-04 20:03:00,2017-09-04 20:03:00,2017-09-04 20:18:00,0.9999999999999996,0.0,15.0,1.0,0.20000000000000004,0.19999999999999996,8.326672684688674e-17,0.0,0.19999999999999996,0.19999999999999996,0.8491666666666667,0.4568817204301075,0.8491666666666665,0.8491666666666647,1826.5166666666667,76.1048611111111
2017-09-07 09:16:00,2017-09-07 09:16:00,2017-09-07 09:25:00,0.9999999999999999,0.0,9.0,,0.19999999999999998,0.19999999999999996,2.7755575615628914e-17,0.0,0.19999999999999996,,0.041666666666666664,0.42693548387096775,0.04166666666666666,0.04166666666666664,61.11666666666667,2.546527777777778
2017-09-21 14:15:00,2017-09-21 14:15:00,2017-09-21 14:31:00,0.9999999999999996,0.0,16.0,1.0,0.20000000000000004,0.19999999999999996,8.326672684688674e-17,0.0,0.19999999999999996,0.19999999999999996,47.609583333333326,4.946900584795322,47.60958333333331,47.60958333333331,341.1,14.2125
