Preliminary Synchronized Reserve Summary 
Month:,"August, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:23:19 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
08/02/2017 01,08/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78081.769035,14.412278396,2336.688705,.00,.00,25.317032357,1573.362131260,.00,.000,.000,.000,.000,.000,.00,25.317027048
08/02/2017 02,08/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73160.669968,11.590564469,2791.071309,.00,.00,20.550029586,1894.630150409,.00,.000,.000,.000,.000,.000,.00,20.550020017
08/02/2017 03,08/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70034.036953,12.030871329,3205.185815,.00,.00,21.174977340,2156.378646237,.00,.000,.000,.000,.000,.000,.00,21.174970089
08/02/2017 04,08/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68001.606016,.112812943,3715.598054,.00,.00,.200196333,2501.450017489,.00,.000,.000,.000,.000,.000,.00,.200133411
08/02/2017 05,08/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67825.294008,.111158016,3308.741299,.00,.00,.200003698,2247.365625215,.00,.000,.000,.000,.000,.000,.00,.199999918
08/02/2017 06,08/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70254.900984,1.294971883,2951.149343,.00,.00,2.358032842,1996.759485361,.00,.000,.000,.000,.000,.000,.00,2.358026075
08/02/2017 07,08/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74404.214044,9.483593164,2364.359714,.00,.00,17.117012599,1572.467960744,.00,.000,.000,.000,.000,.000,.00,17.116972315
08/02/2017 08,08/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79117.192131,9.262659338,2072.613119,.00,.00,16.608008503,1338.658272293,.00,.000,.000,.000,.000,.000,.00,16.608006194
08/02/2017 09,08/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,84492.150052,9.861650439,1968.597861,.00,.00,17.741956113,1280.852035731,.00,.000,.000,.000,.000,.000,.00,17.741953905
08/02/2017 10,08/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,90136.585019,10.807597203,1598.380011,1.02,.00,19.732971364,1065.098720863,.00,.000,.000,.000,.000,.000,.00,19.732969525
08/02/2017 11,08/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,96238.915037,216.164218381,1514.802739,708.83,.00,382.975041418,998.305011742,.00,.000,90.100,.000,.000,.000,.00,382.975016488
08/02/2017 12,08/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,101831.223013,213.812918790,1461.267734,405.02,.00,378.908016060,955.867069906,.00,.000,90.100,.000,.000,.000,.00,378.908016060
08/02/2017 13,08/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,106107.137995,254.563255736,1535.346949,639.85,.00,442.333001596,973.244568541,.00,.000,80.100,.000,.000,.000,.00,442.332999490
08/02/2017 14,08/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,108960.878025,309.901547905,1183.611745,391.86,2024.05,528.211969847,757.518635606,.00,.000,80.100,.000,.000,.000,.00,528.211969847
