Preliminary Synchronized Reserve Summary 
Month:,"December, 2017" ,Report Creation Timestamp (EPT):, 01/08/2018 04:33:35 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
12/02/2017 01,12/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.98,68461.591987,290.052451126,843.204852,16.57,.00,508.816944547,651.266310867,.00,.000,65.717,.000,.000,.000,.00,508.816944547
12/02/2017 02,12/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.33,66889.945035,208.187079374,949.350628,218.25,.00,364.175993444,701.860949840,.00,.000,102.575,.000,.000,.000,.00,364.175993444
12/02/2017 03,12/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66062.708908,330.073774839,971.396336,331.90,.00,567.300017497,704.893951895,.00,.000,68.500,.000,.000,.000,.00,567.300015819
12/02/2017 04,12/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65992.361011,275.775097094,846.300000,600.51,.00,464.300045874,572.467313027,.00,.000,203.500,.000,.000,.000,.00,464.300025168
12/02/2017 05,12/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),2.13,66836.501972,404.649692790,818.200000,170.45,.00,681.749976488,560.139021369,.00,.000,181.692,.000,.000,.000,.00,681.749976488
12/02/2017 06,12/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68735.868033,515.320471977,843.600000,2777.97,1400.57,871.545032922,572.597346872,.00,.000,282.875,151.695,.000,.000,.00,871.545007877
12/02/2017 07,12/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),2.54,71602.033915,418.985076205,660.912137,1700.55,.00,721.398994405,462.942459161,.00,.000,214.483,.000,.000,.000,.00,721.398994405
12/02/2017 08,12/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),1.25,74620.209014,495.703278299,715.748538,7539.54,.00,848.033995542,534.029625554,.00,.000,496.184,.000,.000,.000,.00,848.033995542
12/02/2017 09,12/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75976.241985,720.641005378,999.022657,7883.15,.00,1210.699992640,705.987506501,.00,.000,703.300,.000,.000,.000,.00,1210.699962048
12/02/2017 10,12/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75430.685992,631.708295065,592.202694,7367.04,.00,1078.600001758,469.235195881,.00,.000,602.000,.000,.000,.000,.00,1078.600001758
12/02/2017 11,12/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74054.169069,629.497625607,642.744490,5625.86,.00,1053.299999899,478.687397497,.00,.000,471.600,.000,.000,.000,.00,1053.299999899
12/02/2017 12,12/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72355.170996,646.341306154,750.546542,6239.90,.00,1078.700029340,549.769982808,.00,.000,602.000,.000,.000,.000,.00,1078.700029340
12/02/2017 13,12/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.23,70625.573902,325.865387443,917.255071,619.86,.00,554.049000491,651.130898395,.00,.000,231.849,.000,.000,.000,.00,554.048998908
12/02/2017 14,12/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.16,69373.911968,370.746324863,862.290752,2012.27,.00,632.674992720,612.309949613,.00,.000,246.475,.000,.000,.000,.00,632.674992720
12/02/2017 15,12/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68272.814983,363.256924135,896.240804,1313.88,668.39,626.300002887,629.983047869,.00,.000,212.600,.000,.000,.000,.00,626.300002887
12/02/2017 16,12/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68276.241043,365.309602672,935.582923,2392.08,.00,628.099968151,630.062051147,.00,.000,240.600,.000,.000,.000,.00,628.099968151
12/02/2017 17,12/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),5.86,70714.556007,362.105683273,828.710323,1068.92,.00,642.174984334,579.977762399,.00,.000,237.191,.000,.000,.000,.00,642.174984334
12/02/2017 18,12/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),16.42,75784.951930,434.824443408,541.891059,2185.00,.00,776.385003806,417.802028075,.00,.000,333.001,.000,.000,.000,.00,776.385003806
12/02/2017 19,12/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.04,77157.261023,604.202490603,499.235740,7245.17,.00,1064.775984083,418.353404314,.00,.000,497.426,.000,.000,.000,.00,1064.775961970
