Preliminary Synchronized Reserve Summary 
Month:,"June, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:24:12 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
06/02/2017 01,06/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61702.067941,14.087475244,2273.936317,.00,.00,24.199995608,1612.453570494,.00,.000,.000,.000,.000,.000,.00,24.199990359
06/02/2017 02,06/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58380.760966,14.155437709,2628.911081,.00,.00,24.199986896,1867.067370049,.00,.000,.000,.000,.000,.000,.00,24.199983872
06/02/2017 03,06/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56423.014005,14.158803896,2694.825731,.00,.00,24.200073921,1921.520663558,.00,.000,.000,.000,.000,.000,.00,24.200073921
06/02/2017 04,06/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55311.043139,14.266455420,3014.605365,.00,.00,24.200012580,2121.463748581,.00,.000,.000,.000,.000,.000,.00,24.200002295
06/02/2017 05,06/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55645.262004,13.451526930,2283.542421,.00,.00,23.300009636,1605.587873259,.00,.000,.000,.000,.000,.000,.00,23.300004429
06/02/2017 06,06/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58256.974982,12.075388938,1959.500260,.00,.00,20.699962787,1372.204925010,.00,.000,.000,.000,.000,.000,.00,20.699956073
06/02/2017 07,06/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62444.558980,13.723263530,1857.856909,.00,.00,23.699979844,1260.578519514,.00,.000,.000,.000,.000,.000,.00,23.699975657
06/02/2017 08,06/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67573.054006,13.861113567,1674.606649,.00,.00,23.700081684,1114.472275343,.00,.000,.000,.000,.000,.000,.00,23.700050092
06/02/2017 09,06/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71289.271969,14.919152912,1459.584205,.00,.00,25.100032162,963.854805458,.00,.000,.000,.000,.000,.000,.00,25.100028957
06/02/2017 10,06/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),1.15,74079.584055,18.785244396,1226.552901,10.62,.00,32.400019596,832.591449184,.00,.000,.000,.000,.000,.000,.00,32.400018208
06/02/2017 11,06/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.58,76533.185988,189.911686033,913.530213,231.27,.00,316.199985030,606.941708846,.00,.000,179.100,.000,.000,.000,.00,316.199982442
06/02/2017 12,06/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),1.30,78349.513042,220.792570324,1190.072398,219.24,.00,372.932996984,848.109603996,.00,.000,180.900,.000,.000,.000,.00,372.932996984
06/02/2017 13,06/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),1.99,80024.117036,318.530708151,1158.425732,353.81,.00,531.216993085,825.475857679,.00,.000,179.100,.000,.000,.000,.00,531.216991239
06/02/2017 14,06/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),5.66,81551.125037,341.060703229,734.732350,1002.01,467.88,572.594978962,524.803925346,.00,.000,216.015,.000,.000,.000,.00,572.594977564
06/02/2017 15,06/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),1.68,82724.389990,568.568107164,721.350000,772.03,2637.38,943.042003474,537.958103487,1843.95,.000,200.100,.000,.000,.000,.00,943.041980312
06/02/2017 16,06/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.30,51994.978882,177.683998347,423.140000,573.19,.00,177.683998347,485.200007627,180.03,.000,177.684,.000,.000,.000,.00,177.683998347
06/02/2017 17,06/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),1.68,84700.730098,591.562402456,852.244739,2002.21,1635.43,969.760998889,621.138507886,2296.03,.000,199.411,.000,.000,.000,.00,969.760998889
06/02/2017 18,06/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),1.05,84941.071991,562.782043046,653.765073,6025.11,.00,911.584017426,460.545349240,.00,.000,231.992,.000,.000,.000,.00,911.584015780
06/02/2017 19,06/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),7.34,83588.946992,552.163771869,360.284589,934.84,582.94,896.124007035,281.045948949,.00,.000,192.890,.000,.000,.000,.00,896.124007035
06/02/2017 20,06/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),4.15,81183.510034,519.784796814,587.840590,997.02,1422.59,837.839004590,419.198222533,.00,.000,266.600,.000,.000,.000,.00,837.839003087
06/02/2017 21,06/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),1.65,78610.338050,268.745415541,853.396138,213.37,.00,443.551006115,608.049536107,.00,.000,187.642,.000,.000,.000,.00,443.551003296
06/02/2017 22,06/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),4.23,76945.946988,285.722353914,739.379664,164.05,.00,486.449015134,556.904889209,.00,.000,233.242,.000,.000,.000,.00,486.448996198
06/02/2017 23,06/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72452.282011,267.493646916,1107.214359,629.50,.00,433.007996669,769.570699618,.00,.000,184.616,.000,.000,.000,.00,433.007996669
06/02/2017 24,06/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66305.046000,270.508629107,1741.754786,618.61,.00,443.000022280,1231.706575341,.00,.000,195.000,.000,.000,.000,.00,443.000017506
06/03/2017 01,06/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61057.046982,13.900044577,1904.173237,.00,.00,23.900023174,1367.076801211,.00,.000,.000,.000,.000,.000,.00,23.900016611
06/03/2017 02,06/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57340.195986,13.816303523,1583.261729,.00,.00,23.900025229,1141.501834010,.00,.000,.000,.000,.000,.000,.00,23.899990394
06/03/2017 03,06/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55101.597996,13.923705794,1658.665466,.00,.00,23.900050272,1185.540260985,.00,.000,.000,.000,.000,.000,.00,23.900048370
06/03/2017 04,06/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53450.328030,13.892951920,2354.486614,.00,.00,23.899993695,1660.863622408,.00,.000,.000,.000,.000,.000,.00,23.899988354
06/03/2017 05,06/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53127.460960,13.712337063,1937.353511,.00,.00,23.900002680,1389.078960956,.00,.000,.000,.000,.000,.000,.00,23.900000441
06/03/2017 06,06/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53763.976951,11.291737049,1736.268571,.00,.00,19.800026175,1249.105119826,.00,.000,.000,.000,.000,.000,.00,19.800014085
06/03/2017 07,06/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,54689.788004,11.247364917,1963.001498,.00,.00,19.800062629,1389.276950693,.00,.000,.000,.000,.000,.000,.00,19.800019746
06/03/2017 08,06/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57622.538996,11.316955803,1745.805693,.00,.00,19.799956787,1250.757753291,.00,.000,.000,.000,.000,.000,.00,19.799952696
06/03/2017 09,06/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.82,61707.474030,11.156184746,1269.232971,.59,.00,19.016029040,878.227010333,.00,.000,.000,.000,.000,.000,.00,19.016004536
06/03/2017 10,06/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.33,65351.397004,85.976309103,1145.670950,85.49,.00,141.766992748,743.334970732,.00,.000,88.100,.000,.000,.000,.00,141.766990076
06/03/2017 11,06/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),2.42,68041.753953,190.547235225,1062.319064,195.96,.00,303.307009195,697.622843103,.00,.000,233.974,.000,.000,.000,.00,303.307009195
06/03/2017 12,06/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.73,70094.418894,304.071388802,1044.992937,466.04,.00,480.674973998,710.541457696,.00,.000,195.100,.000,.000,.000,.00,480.674972402
06/03/2017 13,06/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.17,71659.980014,273.612849685,1071.878012,563.75,.00,426.250010554,730.980159469,.00,.000,177.733,.000,.000,.000,.00,426.250008993
06/03/2017 14,06/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.49,72955.499994,309.738602513,989.302433,551.83,.00,480.691985603,687.392548272,.00,.000,195.100,.000,.000,.000,.00,480.691984064
06/03/2017 15,06/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74469.506026,305.094312830,1296.576652,1026.78,.00,477.199955467,933.862018014,.00,.000,177.100,.000,.000,.000,.00,477.199951662
06/03/2017 16,06/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.21,76357.619954,339.770005925,1206.790195,1086.69,.00,531.000033512,873.333938911,.00,.000,195.100,.000,.000,.000,.00,531.000009306
06/03/2017 17,06/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.96,78283.430010,299.170320439,1184.136480,412.18,.00,461.632990060,819.498128205,.00,.000,177.383,.000,.000,.000,.00,461.632988341
06/03/2017 18,06/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.88,79639.906931,344.124475366,1018.327626,839.13,.00,531.817021751,693.902710262,.00,.000,195.100,.000,.000,.000,.00,531.817020145
06/03/2017 19,06/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),4.15,79668.165963,435.144913351,698.519977,908.55,.00,669.858984623,462.444740198,.00,.000,230.650,.000,.000,.000,.00,669.858981831
06/03/2017 20,06/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),2.50,77889.501981,520.438240287,694.240582,798.64,1520.22,805.974972462,459.379737516,.00,.000,271.717,.000,.000,.000,.00,805.974970929
06/03/2017 21,06/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.90,75824.574967,397.349588391,892.432326,818.82,1498.22,633.184011919,631.378614371,.00,.000,186.633,.000,.000,.000,.00,633.184011919
06/03/2017 22,06/04/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),1.90,74987.212010,450.078888134,823.526687,524.44,1668.70,714.492017102,579.013123701,.00,.000,224.409,.000,.000,.000,.00,714.492015480
06/03/2017 23,06/04/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.04,71245.939038,394.551242579,1237.099586,2640.35,.00,619.342001552,848.377955431,.00,.000,177.042,.000,.000,.000,.00,619.341999608
06/03/2017 24,06/04/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65995.544009,296.446546660,1355.233489,712.81,.00,476.307970453,986.882208685,.00,.000,195.000,.000,.000,.000,.00,476.307966448
06/04/2017 01,06/04/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61181.517016,299.504061659,1847.674295,805.67,.00,495.000053711,1366.976967754,.00,.000,185.000,.000,.000,.000,.00,495.000048528
06/04/2017 02,06/04/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57579.747053,12.070277986,1763.934176,.00,.00,20.400005763,1296.050668723,.00,.000,.000,.000,.000,.000,.00,20.400005763
06/04/2017 03,06/04/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55373.103988,12.518017305,1774.977698,.00,.00,21.117050405,1295.113104959,.00,.000,.000,.000,.000,.000,.00,21.117044288
06/04/2017 04,06/04/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53979.468006,13.327393859,2035.973285,.00,.00,22.467009765,1479.364715578,.00,.000,.000,.000,.000,.000,.00,22.467002775
06/04/2017 05,06/04/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53223.240972,12.845458791,1737.046359,.00,.00,21.967036306,1272.709177136,.00,.000,.000,.000,.000,.000,.00,21.967000019
06/04/2017 06,06/04/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53095.622999,13.246407133,2122.416757,.00,.00,22.449994409,1539.995409369,.00,.000,.000,.000,.000,.000,.00,22.449989544
06/04/2017 07,06/04/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53187.116056,12.476490350,2256.422428,.00,.00,21.241924374,1619.893267055,.00,.000,.000,.000,.000,.000,.00,21.241919230
06/04/2017 08,06/04/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55238.586030,13.664087807,2087.876929,.00,.00,23.257979264,1513.416215861,.00,.000,.000,.000,.000,.000,.00,23.257979264
06/04/2017 09,06/04/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59164.362028,11.553809159,1966.707283,.00,.00,19.800008552,1425.651960870,.00,.000,.000,.000,.000,.000,.00,19.800003964
06/04/2017 10,06/04/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63502.747001,10.928008487,1853.317360,.00,.00,18.699989112,1349.486944936,.00,.000,.000,.000,.000,.000,.00,18.699984777
06/04/2017 11,06/04/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67613.777005,10.992247194,1660.610107,.00,.00,18.699973491,1213.502606072,.00,.000,.000,.000,.000,.000,.00,18.699969606
06/04/2017 12,06/04/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71213.915037,11.528939635,1528.514695,.00,.00,18.699966912,1066.926404754,.00,.000,.000,.000,.000,.000,.00,18.699965217
06/04/2017 13,06/04/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),4.75,74920.142009,72.792262291,1178.237446,447.33,.00,116.567982322,825.356313060,.00,.000,81.510,.000,.000,.000,.00,116.567980918
06/04/2017 14,06/04/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.80,77581.257013,372.659338405,1125.673559,643.37,304.02,591.233988524,813.642316499,.00,.000,128.486,105.632,.000,.000,.00,591.233984834
06/04/2017 15,06/04/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.06,79647.169029,322.580374442,1073.783262,587.13,834.78,504.281025624,752.426852531,.00,.000,177.100,3.890,.000,.000,.00,504.281023959
06/04/2017 16,06/04/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.08,81369.008024,478.682561744,1145.828697,997.00,1743.94,757.840996992,848.112928365,.00,.000,70.100,125.000,.000,.000,.00,757.840970293
06/04/2017 17,06/04/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82998.503986,405.322003392,1036.524255,2476.98,.00,640.833047536,753.119539308,.00,.000,177.100,.000,.000,.000,.00,640.833045739
06/04/2017 18,06/04/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.87,83915.952040,439.856939984,769.749142,710.80,1301.20,708.221992573,599.476021752,.00,.000,195.100,.000,.000,.000,.00,708.221990953
