Preliminary Synchronized Reserve Summary 
Month:,"May, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:20:00 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
05/02/2017 01,05/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,60836.143987,100.445344677,1543.143572,115.04,.00,178.200090485,1060.637492570,.00,.000,60.000,.000,.000,.000,.00,178.200026452
05/02/2017 02,05/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58393.781021,14.498376381,1747.678724,.00,.00,25.400002508,1171.294730161,.00,.000,.000,.000,.000,.000,.00,25.400002508
05/02/2017 03,05/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56912.845981,14.791442916,1886.164383,.00,.00,25.400056871,1244.012759127,.00,.000,.000,.000,.000,.000,.00,25.400056871
05/02/2017 04,05/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56232.740996,14.874143711,1843.574266,.00,.00,25.399979070,1210.526774694,.00,.000,.000,.000,.000,.000,.00,25.399979070
05/02/2017 05,05/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56871.883995,14.782515203,1617.929724,.00,.00,24.500007233,1013.327489292,.00,.000,.000,.000,.000,.000,.00,24.500007233
05/02/2017 06,05/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),2.90,60525.939976,26.856234689,1263.060648,67.42,.00,44.592030259,784.135247702,.00,.000,12.050,.000,.000,.000,.00,44.592030259
05/02/2017 07,05/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),7.47,66465.900974,295.987443145,834.927175,97.66,.00,503.643040242,558.866614105,.00,.000,143.550,.000,.000,.000,.00,503.643038815
05/02/2017 08,05/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),13.61,70682.385019,703.121892175,648.748930,437.81,988.36,1182.030983929,399.954312086,.00,.000,227.848,195.222,.000,.000,.00,1182.030983929
05/02/2017 09,05/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),1.74,72553.400022,541.508403864,899.437301,828.78,3398.87,912.969013071,568.045046616,.00,.000,217.344,150.000,.000,.000,.00,912.969013071
05/02/2017 10,05/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.62,73567.907022,486.789413027,844.585697,2496.92,1176.52,817.320176385,520.142995058,.00,.000,142.182,.000,.000,.000,.00,817.320018557
05/02/2017 11,05/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.59,74211.137066,482.174175501,765.902359,508.94,2961.77,819.087091661,492.763508742,.00,.000,140.417,.000,.000,.000,.00,819.087005436
05/02/2017 12,05/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),2.41,74561.598007,521.164333371,715.637791,92.21,2821.05,883.300075357,456.502557813,.00,.000,119.600,.000,.000,.000,.00,883.299988797
05/02/2017 13,05/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),7.32,74432.491970,581.084437972,499.249415,1047.90,541.91,984.582100946,325.999580387,.00,.000,262.128,.000,.000,.000,.00,984.581979731
05/02/2017 14,05/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.55,74425.701985,506.075587112,667.829810,4112.30,.00,857.484001567,426.614411440,.00,.000,91.484,.000,.000,.000,.00,857.484001567
05/02/2017 15,05/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),1.74,74239.806972,424.028756271,698.045807,2118.12,.00,723.425069325,444.807186663,.00,.000,117.600,.000,.000,.000,.00,723.425011040
05/02/2017 16,05/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,73983.328994,498.370989899,690.840921,4319.81,.00,854.300002855,435.573345515,.00,.000,89.600,.000,.000,.000,.00,854.299982345
05/02/2017 17,05/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73894.764021,494.447947720,877.545853,4527.17,.00,856.341998446,552.245122551,.00,.000,89.850,.000,.000,.000,.00,856.341998446
05/02/2017 18,05/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),9.47,74038.647913,493.352552093,722.493884,2609.23,.00,853.900023020,450.937002400,.00,.000,88.900,.000,.000,.000,.00,853.899979553
05/02/2017 19,05/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73561.524988,529.269059674,711.103560,4733.19,.00,910.198997862,450.594052472,.00,.000,123.208,.000,.000,.000,.00,910.198997862
05/02/2017 20,05/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73180.691979,520.838262348,647.989797,4533.42,.00,892.999991805,413.747354451,.00,.000,118.900,.000,.000,.000,.00,892.999991805
05/02/2017 21,05/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),1.25,74481.421986,512.100866980,625.260068,3601.95,.00,893.000092396,432.502366006,.00,.000,118.900,.000,.000,.000,.00,892.999987310
05/02/2017 22,05/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),4.25,73117.116003,593.480139140,642.687796,3549.27,.00,988.990988641,394.980497815,.00,.000,161.892,.000,.000,.000,.00,988.990965667
05/02/2017 23,05/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67960.755992,399.113240011,1094.184142,2591.74,.00,670.000040019,720.611898911,.00,.000,117.000,.000,.000,.000,.00,670.000014357
05/02/2017 24,05/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62852.378985,54.588858043,1620.593336,3.50,.00,91.200126078,1099.817857200,.00,.000,60.000,.000,.000,.000,.00,91.200066286
