Preliminary Synchronized Reserve Summary 
Month:,"September, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:27:03 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
09/02/2017 01,09/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56995.956922,11.055818564,1995.515964,.00,.00,19.400052945,1395.601394783,.00,.000,.000,.000,.000,.000,.00,19.400014299
09/02/2017 02,09/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,54341.319003,10.369420096,1963.898141,.00,.00,18.100014107,1368.613274962,.00,.000,.000,.000,.000,.000,.00,18.100014107
09/02/2017 03,09/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,52735.347030,10.325754731,1822.906461,.00,.00,18.099999474,1284.432866316,.00,.000,.000,.000,.000,.000,.00,18.099999474
09/02/2017 04,09/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51774.756993,11.097822666,1644.591268,.00,.00,19.400003130,1155.701217440,.00,.000,.000,.000,.000,.000,.00,19.400003130
09/02/2017 05,09/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51584.147991,69.486836010,1357.093418,35.73,.00,122.900007186,979.998014224,.00,.000,78.100,.000,.000,.000,.00,122.900007186
09/02/2017 06,09/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),4.30,52303.318968,61.954506275,1076.077006,402.86,.00,109.540019208,773.239008489,.00,.000,54.816,.000,.000,.000,.00,109.540019208
09/02/2017 07,09/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.94,53935.984008,144.259702522,1257.414329,156.84,.00,255.600014981,921.965687320,.00,.000,96.100,.000,.000,.000,.00,255.600014981
09/02/2017 08,09/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55337.091036,231.803745535,1932.056963,787.10,.00,406.300028979,1367.327152004,.00,.000,78.100,.000,.000,.000,.00,406.300028979
09/02/2017 09,09/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58207.791996,38.917154344,2026.606771,1.32,.00,69.800030805,1402.332469243,.00,.000,53.300,.000,.000,.000,.00,69.799990535
09/02/2017 10,09/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61370.491070,38.637707805,1643.583772,1.26,.00,69.399997271,1175.998028573,.00,.000,52.700,.000,.000,.000,.00,69.399997271
09/02/2017 11,09/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63387.028973,7.220949111,1753.303396,.00,.00,12.899951413,1236.753984815,.00,.000,.000,.000,.000,.000,.00,12.899951413
09/02/2017 12,09/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64249.106026,48.352435205,1592.676975,3.00,.00,86.900011987,1103.411882341,.00,.000,70.100,.000,.000,.000,.00,86.900011987
09/02/2017 13,09/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64352.539034,48.861544003,1878.930069,2.00,.00,86.900029216,1286.341513773,.00,.000,70.100,.000,.000,.000,.00,86.900029216
09/02/2017 14,09/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64496.700973,103.864706613,2490.968053,109.01,.00,183.299955928,1707.009005322,.00,.000,106.100,.000,.000,.000,.00,183.299955928
09/02/2017 15,09/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64246.113964,7.250011803,2276.951529,.00,.00,12.900086536,1560.125469648,.00,.000,.000,.000,.000,.000,.00,12.900086536
09/02/2017 16,09/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63971.145978,7.242609919,2220.117046,.00,.00,12.899978634,1519.153646811,.00,.000,.000,.000,.000,.000,.00,12.899978634
