Preliminary Synchronized Reserve Summary 
Month:,"February, 2017" ,Report Creation Timestamp (EPT):, 07/03/2017 11:21:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
02/02/2017 01,02/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71827.800995,2.426996781,2348.149961,.00,.00,4.200028742,1662.520217427,.00,.000,.000,.000,.000,.000,.00,4.200028742
02/02/2017 02,02/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70214.314021,3.951981193,2525.006741,.00,.00,6.800025117,1777.555694900,.00,.000,.000,.000,.000,.000,.00,6.799985330
02/02/2017 03,02/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69711.998042,3.959317018,2946.952519,.00,.00,6.800023541,2074.137264422,.00,.000,.000,.000,.000,.000,.00,6.799977173
02/02/2017 04,02/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69901.765006,2.408390250,2556.704647,.00,.00,4.199962666,1838.390387670,.00,.000,.000,.000,.000,.000,.00,4.199962666
02/02/2017 05,02/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71851.280008,2.431402158,2287.444443,.00,.00,4.200027945,1605.462282191,.00,.000,.000,.000,.000,.000,.00,4.199991924
02/02/2017 06,02/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76613.707019,2.402818610,2242.470862,.00,.00,4.200034632,1565.688963075,.00,.000,.000,.000,.000,.000,.00,4.199935985
02/02/2017 07,02/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,84389.164012,6.784747880,1561.607042,.00,.00,11.800000748,1095.202698454,.00,.000,.000,.000,.000,.000,.00,11.800000748
02/02/2017 08,02/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,89153.148979,183.319490443,1121.059641,200.28,597.22,315.023985126,817.314358272,.00,.000,47.074,176.775,.000,.000,.00,315.023985126
02/02/2017 09,02/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,88832.849981,317.188371597,1520.629798,1010.41,326.25,532.500038542,1091.397749506,.00,.000,238.900,88.000,.000,.000,.00,532.499988584
02/02/2017 10,02/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,87583.332977,276.447625005,1968.463430,563.56,492.05,448.700074768,1349.890434655,.00,.000,149.900,147.000,.000,.000,.00,448.700074768
