Preliminary Synchronized Reserve Summary ,,,,,,,,,,,,,,,,,,,
Month:,"November, 2017 ",Report Creation Timestamp (EPT):, 01/05/2018 12:39:10 PM,,,,,,,,,,,,,,,,
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
11/02/2017 02,11/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),4.7,59535.07602,127.4750231,1149.953416,246.72,0,213.6669993,826.7157766,0,0,47.425,0,0,0,0,213.6669993
11/02/2017 03,11/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),0,58273.10598,220.9322241,1367.987896,518.93,0,370.8250121,996.5396866,0,0,212,0,0,0,0,370.8250121
11/02/2017 04,11/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),0,57757.04096,116.9674843,1324.024781,72.29,0,198.4000314,958.0590094,0,0,60,0,0,0,0,198.4000314
11/02/2017 05,11/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),0,58757.30908,204.6432684,1159.444345,481.56,0,349.9000845,863.170509,0,0,185.1,0,0,0,0,349.9000557
11/02/2017 06,11/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),0,62516.88198,208.5586869,1070.885398,604.72,0,358.9669958,782.1956312,0,0,195.9,0,0,0,0,358.9669958
11/02/2017 07,11/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),0,69290.01297,324.5856727,1006.5,1954.79,526.86,555.6000452,710.2047654,0,0,198.4,0,0,0,0,555.6000216
11/02/2017 08,11/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),1.18,74283.45087,395.0793104,882.379251,2879.69,0,687.1749948,667.5293599,1501.24,0,218.4,0,0,0,0,687.1749931
11/02/2017 09,11/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),0,74976.91304,677.9077938,1027.569232,3033.09,5635.35,1142.194008,756.1071871,0,0,216.1,467.177,0,0,0,1142.193978
11/02/2017 10,11/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),0,74744.053,682.9928082,806.904001,4010.31,6097.35,1156.883072,633.3705364,0,0,216.1,481,0,0,0,1156.883072
11/02/2017 11,11/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),0,74621.91098,686.570721,886.104973,3411.7,6196.24,1151.554987,672.9013068,0,0,186.1,481,0,0,0,1151.554987
