Preliminary Synchronized Reserve Summary 
Month:,"April, 2017" ,Report Creation Timestamp (EPT):, 09/05/2017 12:48:14 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
04/02/2017 01,04/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),4.39,61099.488021,423.017801704,613.661654,1801.87,.00,700.939976758,390.683621767,.00,.000,124.083,.000,.000,.000,.00,700.939976758
04/02/2017 02,04/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),5.63,59273.788978,446.988330312,494.755223,798.60,.00,724.917009725,317.507156319,.00,.000,201.691,.000,.000,.000,.00,724.917009725
04/02/2017 03,04/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),8.04,58351.174021,583.615420614,461.183600,245.04,.00,956.768006789,291.932099431,.00,.000,289.625,.000,.000,.000,.00,956.768006789
04/02/2017 04,04/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),7.07,58097.260060,563.220941715,520.303580,600.69,.00,929.834003039,339.955760176,.00,.000,284.950,.000,.000,.000,.00,929.834003039
04/02/2017 05,04/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),7.17,58443.044021,500.662711602,460.240574,371.30,.00,822.965023356,289.453474796,.00,.000,223.657,.000,.000,.000,.00,822.965001343
04/02/2017 06,04/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),9.04,59852.221942,640.212732923,365.343910,662.40,.00,1060.517023882,234.406835864,.00,.000,399.942,.000,.000,.000,.00,1060.517000847
04/02/2017 07,04/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),6.22,61927.731067,548.283826727,533.446149,830.07,1011.76,924.670998049,361.360831981,.00,.000,279.484,90.900,.000,.000,.00,924.670998049
04/02/2017 08,04/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),4.26,63618.057030,579.107709860,392.607742,1482.78,2109.89,959.749991402,271.653382090,.00,.000,129.275,156.300,.000,.000,.00,959.749991402
04/02/2017 09,04/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64636.849022,658.190361168,422.808616,9466.49,.00,1101.634036049,293.505736988,.00,.000,522.867,.000,.000,.000,.00,1101.634012569
04/02/2017 10,04/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64832.742999,740.591625792,416.049721,10657.82,.00,1226.000035959,285.774033549,.00,.000,522.700,.000,.000,.000,.00,1226.000035959
04/02/2017 11,04/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64113.618983,737.192907299,531.693280,10533.56,.00,1226.100073398,382.387454705,.00,.000,522.700,.000,.000,.000,.00,1226.099960527
04/02/2017 12,04/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62970.953949,736.954685851,708.152867,10488.04,.00,1227.766970819,508.708714203,.00,.000,522.700,.000,.000,.000,.00,1227.766970819
04/02/2017 13,04/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62225.172065,728.454917552,861.341305,9905.99,.00,1179.783070639,590.066795405,.00,.000,472.700,.000,.000,.000,.00,1179.783002521
04/02/2017 14,04/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61111.905033,440.604207181,943.317693,4459.06,.00,718.049996255,645.790271888,.00,.000,28.100,.000,.000,.000,.00,718.049968209
04/02/2017 15,04/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,60304.498056,286.651464546,1098.933932,2298.31,.00,461.500047640,717.453642802,.00,.000,10.100,.000,.000,.000,.00,461.500021747
04/02/2017 16,04/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59983.664930,308.442006214,1258.494759,2333.56,.00,498.300133477,820.630617831,.00,.000,48.100,.000,.000,.000,.00,498.299982077
04/02/2017 17,04/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),3.65,60550.924008,187.490601635,920.483007,203.78,.00,306.615997978,605.880541322,.00,.000,78.815,.000,.000,.000,.00,306.615997978
04/02/2017 18,04/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),7.06,61843.709995,320.594650482,827.118281,174.95,.00,533.217996882,560.165372968,.00,.000,212.359,.000,.000,.000,.00,533.217996882
04/02/2017 19,04/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),1.84,62998.813989,368.069148427,841.597475,2610.48,.00,621.010082704,544.112699584,.00,.000,55.568,.000,.000,.000,.00,621.009987706
04/02/2017 20,04/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.20,65409.347083,401.647527294,993.755882,4176.12,.00,689.990982060,638.414861799,.00,.000,31.917,.000,.000,.000,.00,689.990982060
04/02/2017 21,04/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68744.183953,438.194517955,960.262733,23915.34,.00,742.000042914,606.728751410,.00,.000,342.700,.000,.000,.000,.00,741.999992399
04/02/2017 22,04/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67241.477949,473.327195900,900.228608,5807.91,543.28,790.196128637,566.308132034,.00,.000,342.600,.000,.000,.000,.00,790.196027305
04/02/2017 23,04/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.51,63853.357989,458.060469766,1042.147825,3998.05,1331.56,756.300023923,652.539194110,.00,.000,256.400,.000,.000,.000,.00,756.299994806
04/02/2017 24,04/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.25,60480.054128,197.279598635,1138.435439,335.89,.00,319.207012201,729.936457685,.00,.000,33.307,.000,.000,.000,.00,319.207012201
04/03/2017 01,04/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57741.121998,173.279790396,1243.918697,386.36,.00,283.199984443,822.495517020,.00,.000,48.000,.000,.000,.000,.00,283.199984443
04/03/2017 02,04/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56485.126992,163.453316731,1216.479045,355.58,.00,265.199973340,799.675481532,.00,.000,30.000,.000,.000,.000,.00,265.199973340
04/03/2017 03,04/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56026.821973,176.331352347,1405.309743,387.86,.00,283.200022830,898.723821457,.00,.000,48.000,.000,.000,.000,.00,283.200022830
04/03/2017 04,04/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56372.071010,182.656654830,1297.732559,446.58,.00,295.200226355,833.507428380,.00,.000,60.000,.000,.000,.000,.00,295.199994269
04/03/2017 05,04/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),1.83,57913.706934,179.154356537,979.614500,75.25,.00,291.824027207,623.840901500,.00,.000,50.866,.000,.000,.000,.00,291.823982591
04/03/2017 06,04/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),6.70,62408.415943,296.224911415,785.779424,164.32,142.76,502.991018687,507.787164375,.00,.000,139.201,.000,.000,.000,.00,502.990997346
04/03/2017 07,04/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),8.39,69882.556017,595.149272070,489.776601,1326.56,995.82,1013.449012790,323.145374612,.00,.000,375.983,143.916,.000,.000,.00,1013.448991248
04/03/2017 08,04/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,74266.969958,684.183910313,426.707056,6240.78,2682.28,1145.517051950,272.052649428,.00,.000,294.017,260.300,.000,.000,.00,1145.516967711
04/03/2017 09,04/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74552.619966,734.579108194,468.217573,7192.31,2742.72,1217.900135988,300.388914288,.00,.000,289.100,251.300,.000,.000,.00,1217.899997956
04/03/2017 10,04/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74034.333998,747.099320141,341.992300,10083.24,.00,1217.925079884,224.992557835,.00,.000,540.425,.000,.000,.000,.00,1217.924994827
04/03/2017 11,04/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73376.574991,724.267467517,380.371277,9406.07,.00,1168.057986010,253.182214956,.00,.000,490.458,.000,.000,.000,.00,1168.057986010
04/03/2017 12,04/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73098.263964,761.130152031,330.138730,20205.61,.00,1218.049989135,223.757032640,.00,.000,540.450,.000,.000,.000,.00,1218.049967216
04/03/2017 13,04/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72598.902921,768.593058198,360.966396,10117.40,.00,1227.642018258,246.924776991,.00,.000,540.442,.000,.000,.000,.00,1227.642018258
04/03/2017 14,04/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72210.600062,773.906838044,236.093536,12780.83,.00,1233.491983857,161.034220919,.00,.000,541.292,.000,.000,.000,.00,1233.491983857
04/03/2017 15,04/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71702.077013,766.408350980,341.337446,10091.38,.00,1233.366993320,243.368006908,.00,.000,541.267,.000,.000,.000,.00,1233.366993320
04/03/2017 16,04/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71220.152982,732.664289310,456.735467,9336.44,.00,1181.033002361,300.804420228,.00,.000,490.433,.000,.000,.000,.00,1181.033002361
04/03/2017 17,04/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71303.183991,667.349450585,430.276788,8190.42,.00,1080.508031604,276.973204789,.00,.000,390.408,.000,.000,.000,.00,1080.507988988
04/03/2017 18,04/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72020.623980,754.868366712,313.737828,10047.27,.00,1228.557988536,202.833506371,.00,.000,539.758,.000,.000,.000,.00,1228.557988536
04/03/2017 19,04/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72508.713000,749.865884878,469.042864,9780.86,.00,1227.759081443,302.729670762,.00,.000,539.759,.000,.000,.000,.00,1227.759033477
04/03/2017 20,04/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74255.671025,738.896575384,436.424601,10000.03,.00,1224.500059261,279.325873162,.00,.000,539.700,.000,.000,.000,.00,1224.499992185
04/03/2017 21,04/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75072.143014,737.816021292,488.757759,9781.88,.00,1224.567002183,330.024543818,.00,.000,539.767,.000,.000,.000,.00,1224.567002183
04/03/2017 22,04/04/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),1.76,72389.622005,744.360338585,497.660753,7809.66,.00,1224.299985688,341.011267613,.00,.000,539.600,.000,.000,.000,.00,1224.299985688
04/03/2017 23,04/04/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),9.85,67750.784874,492.091611029,570.986360,344.63,.00,796.126006095,369.344725106,.00,.000,299.367,.000,.000,.000,.00,796.125985342
04/03/2017 24,04/04/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),4.65,63258.963001,393.078598830,924.868904,750.30,.00,632.565101915,598.048632950,.00,.000,181.950,.000,.000,.000,.00,632.565002327
04/04/2017 01,04/04/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59541.679976,181.180522970,1439.135160,392.19,.00,300.700028839,981.185698638,.00,.000,48.000,.000,.000,.000,.00,300.699999177
04/04/2017 02,04/04/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57399.514913,140.576415681,1266.429863,192.85,.00,224.599996398,838.399601327,.00,.000,30.000,.000,.000,.000,.00,224.599994840
04/04/2017 03,04/04/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56324.405072,155.268294683,1542.720649,234.95,.00,248.599984718,1019.671430557,.00,.000,48.000,.000,.000,.000,.00,248.599984718
04/04/2017 04,04/04/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56044.610036,15.161134278,1559.340735,.00,.00,24.500169426,1033.739708461,.00,.000,.000,.000,.000,.000,.00,24.499991855
04/04/2017 05,04/04/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57074.160017,93.593971417,1173.272313,81.48,.00,149.999986386,766.600038006,.00,.000,30.100,.000,.000,.000,.00,149.999986386
04/04/2017 06,04/04/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.01,60743.521040,135.787283272,1161.628348,189.80,.00,220.658039872,754.158801229,.00,.000,32.475,.000,.000,.000,.00,220.658015371
04/04/2017 07,04/04/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),25.61,67750.829054,316.395638349,681.435023,818.44,.00,534.124035140,458.822369635,.00,.000,159.316,.000,.000,.000,.00,534.123979228
04/04/2017 08,04/04/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71912.485989,614.878865190,552.036966,7602.11,.00,1031.916027395,389.400507225,.00,.000,347.999,.000,.000,.000,.00,1031.916027395
04/04/2017 09,04/04/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73136.288872,757.296616608,489.551801,9926.39,150.19,1251.725039535,331.228204354,.00,.000,542.825,.000,.000,.000,.00,1251.725016443
04/04/2017 10,04/04/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73755.279071,746.449489782,475.839599,9617.44,.00,1226.233047663,320.420046905,.00,.000,542.833,.000,.000,.000,.00,1226.233047663
04/04/2017 11,04/04/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73978.435957,761.330683479,479.279728,9543.20,.00,1236.224981005,308.985300280,.00,.000,542.825,.000,.000,.000,.00,1236.224958524
04/04/2017 12,04/04/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73893.840976,758.567876122,422.067102,9709.09,.00,1235.817056818,285.505696945,.00,.000,542.817,.000,.000,.000,.00,1235.816965865
04/04/2017 13,04/04/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73604.498011,760.622304339,328.913848,10125.80,.00,1235.850038266,220.421089345,.00,.000,542.850,.000,.000,.000,.00,1235.849974956
04/04/2017 14,04/04/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73406.717995,783.987353004,230.561736,10680.81,.00,1278.825063028,163.484803683,.00,.000,560.825,.000,.000,.000,.00,1278.825021677
04/04/2017 15,04/04/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.25,72745.401986,774.325798666,264.883111,10100.07,.00,1265.541111964,184.486574307,.00,.000,547.466,.000,.000,.000,.00,1265.541006371
04/04/2017 16,04/04/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71971.249018,766.920247741,314.189419,9730.84,.00,1252.725002855,206.957840202,.00,.000,560.825,.000,.000,.000,.00,1252.725002855
04/04/2017 17,04/04/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),7.99,71785.972029,766.768946375,185.535643,8891.94,.00,1260.116980781,127.560995978,4387.60,.000,568.384,.000,.000,.000,.00,1260.116980781
04/04/2017 18,04/04/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71963.346931,752.904315232,518.765145,10091.24,.00,1257.225028123,356.103617184,.00,.000,542.125,.000,.000,.000,.00,1257.224977123
04/04/2017 19,04/04/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71993.366982,730.088414809,433.369192,9833.63,.00,1222.175142601,301.811782899,.00,.000,542.175,.000,.000,.000,.00,1222.175001628
04/04/2017 20,04/05/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73059.701958,726.535405967,505.653654,9567.05,.00,1218.900061824,335.545402361,.00,.000,542.100,.000,.000,.000,.00,1218.899989717
04/04/2017 21,04/05/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),2.91,75088.340021,723.776652169,283.904855,9763.13,.00,1191.889981751,216.939507810,.00,.000,548.648,.000,.000,.000,.00,1191.889981751
04/04/2017 22,04/05/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),2.11,72998.150950,765.746480301,376.824317,7910.28,.00,1233.699951253,251.867150693,.00,.000,542.000,.000,.000,.000,.00,1233.699951253
04/04/2017 23,04/05/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),7.98,68164.022007,518.413345334,512.861387,180.06,.00,848.384017827,360.727571234,.00,.000,303.259,.000,.000,.000,.00,848.384017827
04/04/2017 24,04/05/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,63341.104062,356.850555459,885.434784,2475.93,.00,578.207077554,595.626850760,.00,.000,43.866,.000,.000,.000,.00,578.206982247
04/05/2017 01,04/05/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59638.984022,183.983509492,1127.389482,385.73,.00,292.700001997,765.371576515,.00,.000,30.000,.000,.000,.000,.00,292.700001997
04/05/2017 02,04/05/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57380.515921,184.036965417,1685.966180,382.59,.00,292.699970502,1143.947419766,.00,.000,30.000,.000,.000,.000,.00,292.699968411
04/05/2017 03,04/05/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56131.764991,151.468516407,1414.127007,227.29,.00,240.599982217,960.641271690,.00,.000,30.000,.000,.000,.000,.00,240.599952484
04/05/2017 04,04/05/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.06,56135.845011,149.550559763,1297.726284,206.89,.00,237.342202641,886.955694404,.00,.000,30.000,.000,.000,.000,.00,237.341971729
04/05/2017 05,04/05/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.09,57230.206003,150.449866866,1068.740265,208.76,.00,240.733064031,744.035940296,.00,.000,30.100,.000,.000,.000,.00,240.732967111
04/05/2017 06,04/05/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),2.06,61271.092007,242.443724287,880.028653,291.63,.00,391.508985431,612.515253734,.00,.000,70.726,.000,.000,.000,.00,391.508985431
04/05/2017 07,04/05/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),13.54,68299.909960,386.521481082,625.134280,1563.01,.00,631.525968332,414.575211424,.00,.000,266.542,.000,.000,.000,.00,631.525968332
04/05/2017 08,04/05/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),3.71,72341.243993,584.941252274,474.277860,3786.09,.00,949.091033225,317.227798002,.00,.000,402.899,.000,.000,.000,.00,949.091033225
04/05/2017 09,04/05/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),2.63,73144.426934,592.650173450,439.999129,4485.74,.00,952.007959738,288.811986168,.00,.000,370.892,.000,.000,.000,.00,952.007959738
04/05/2017 10,04/05/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),4.46,72892.292972,617.937672805,395.167092,3638.24,.00,985.942006343,260.403290217,.00,.000,400.608,.000,.000,.000,.00,985.942006343
04/05/2017 11,04/05/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),3.77,72866.261003,691.967713089,421.538345,4904.26,.00,1104.017013160,278.270388126,2708.76,.000,486.275,.000,.000,.000,.00,1104.016991605
04/05/2017 12,04/05/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72392.996959,595.786864498,648.851983,7026.89,.00,951.173980216,427.769452426,.00,.000,371.874,.000,.000,.000,.00,951.173980216
04/05/2017 13,04/05/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71884.045965,700.636550913,568.753904,9103.40,.00,1116.458029546,374.869289211,.00,.000,512.658,.000,.000,.000,.00,1116.458029546
04/05/2017 14,04/05/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),5.45,71691.160034,711.134383560,286.843103,4730.88,.00,1135.473048433,201.003601931,.00,.000,531.257,.000,.000,.000,.00,1135.473028222
04/05/2017 15,04/05/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.63,71520.044939,701.206791454,379.992120,8518.98,.00,1117.867020036,253.666332664,.00,.000,514.167,.000,.000,.000,.00,1117.867020036
04/05/2017 16,04/05/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71385.468958,682.706692699,479.661577,8502.30,.00,1090.341999798,313.150626094,.00,.000,512.642,.000,.000,.000,.00,1090.341998214
04/05/2017 17,04/05/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),1.63,71626.911023,679.582603682,430.386066,7013.89,.00,1096.110090887,287.351107724,.00,.000,518.801,.000,.000,.000,.00,1096.110005724
