Preliminary Synchronized Reserve Summary 
Month:,"October, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:31:31 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
10/02/2017 01,10/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,54401.828989,45.262058615,1953.413594,.00,.00,76.899986705,1361.632695168,.00,.000,.000,.000,.000,.000,.00,76.899946345
10/02/2017 02,10/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,52826.482969,45.537716562,1830.306862,.00,.00,75.999996792,1257.177988455,.00,.000,.000,.000,.000,.000,.00,75.999996792
10/02/2017 03,10/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,52064.180027,45.946284691,2005.404241,.00,.00,76.899975748,1386.786525824,.00,.000,.000,.000,.000,.000,.00,76.899973477
10/02/2017 04,10/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51976.595015,45.564655306,2123.769792,.00,.00,76.900026361,1477.001942119,.00,.000,.000,.000,.000,.000,.00,76.899980394
10/02/2017 05,10/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53303.988041,44.957055896,1567.285754,.00,.00,76.899971539,1105.776796725,.00,.000,.000,.000,.000,.000,.00,76.899971539
10/02/2017 06,10/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.04,57081.956043,44.863179374,1403.561514,.00,.00,77.733003622,978.196669023,.00,.000,.000,.000,.000,.000,.00,77.733003622
10/02/2017 07,10/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),2.75,64152.820074,144.146034648,1107.145010,415.26,.00,245.141000139,753.370309005,.00,.000,136.374,.000,.000,.000,.00,245.141000139
10/02/2017 08,10/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),7.41,68558.838041,414.961764154,905.621249,379.01,327.04,696.649991538,632.114895396,.00,.000,319.822,.000,.000,.000,.00,696.649989843
10/02/2017 09,10/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69636.420117,398.942762899,1099.468526,3247.28,.00,675.899991923,830.498157009,.00,.000,179.100,.000,.000,.000,.00,675.899991923
10/02/2017 10,10/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70757.204974,374.897593337,1277.972872,2255.54,.00,607.900003697,867.582573532,.00,.000,197.100,.000,.000,.000,.00,607.899975826
10/02/2017 11,10/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),2.58,71808.066018,278.300144915,990.205460,904.32,.00,458.075973924,705.149182985,.00,.000,236.209,.000,.000,.000,.00,458.075973924
10/02/2017 12,10/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),1.57,72691.640045,390.437298849,924.085438,1242.01,1524.60,639.392001710,673.447149235,.00,.000,167.500,14.224,.000,.000,.00,639.392001710
10/02/2017 13,10/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73503.691954,505.005817686,812.888687,977.51,4536.62,834.400040936,604.597758856,.00,.000,159.100,200.000,.000,.000,.00,834.400018057
10/02/2017 14,10/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74684.700973,531.855008172,913.799075,5500.01,.00,864.200019946,684.053363220,.00,.000,377.100,.000,.000,.000,.00,864.199994934
10/02/2017 15,10/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75637.718002,512.941143404,786.714717,5529.47,.00,832.642010810,595.170499096,.00,.000,360.142,.000,.000,.000,.00,832.641988030
10/02/2017 16,10/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),2.50,76210.557970,502.867591070,818.572932,3199.42,.00,820.925993445,614.310118761,.00,.000,329.292,.000,.000,.000,.00,820.925993445
10/02/2017 17,10/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),5.50,76996.311042,548.253947934,665.932917,1660.37,.00,900.217002379,513.018558092,.00,.000,411.609,.000,.000,.000,.00,900.217002379
10/02/2017 18,10/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),8.44,77367.408043,574.805698328,583.560653,672.77,.00,950.665993310,458.379343316,.00,.000,459.658,.000,.000,.000,.00,950.665993310
10/02/2017 19,10/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),2.40,76894.886962,529.273040919,696.555902,3464.37,.00,879.141998404,527.317509702,.00,.000,388.709,.000,.000,.000,.00,879.141998404
10/02/2017 20,10/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),23.47,78200.729038,632.512244512,430.534968,3370.50,1278.43,1064.320006276,357.626646814,.00,.000,463.410,92.944,.000,.000,.00,1064.320006276
10/02/2017 21,10/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.86,76979.345964,611.279982244,727.660546,3890.71,2277.18,1013.686014925,530.938367804,.00,.000,317.351,193.168,.000,.000,.00,1013.686014925
10/02/2017 22,10/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73121.132021,632.513010618,847.623933,6733.16,.00,1032.100040284,600.734602287,.00,.000,516.800,.000,.000,.000,.00,1032.100040284
10/02/2017 23,10/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67651.468027,482.880049079,1242.085085,4682.63,.00,787.399999539,876.634605782,.00,.000,447.000,.000,.000,.000,.00,787.399999539
10/02/2017 24,10/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62580.699958,279.387445547,1744.805851,553.03,.00,463.399994344,1256.051185055,.00,.000,215.000,.000,.000,.000,.00,463.399955747
