Preliminary Synchronized Reserve Summary 
Month:,"March, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:13:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
03/02/2017 01,03/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63750.880883,33.371907508,2177.245095,.00,.00,53.017046408,1540.835943080,.00,.000,.000,.000,.000,.000,.00,53.017044007
03/02/2017 02,03/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62236.228953,23.225127616,2382.807246,122.30,.00,37.116997522,1722.179899438,.00,.000,.000,.000,.000,.000,.00,37.116994871
03/02/2017 03,03/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61736.015031,15.325027911,2674.667210,70.31,.00,24.183001529,1895.597875321,.00,.000,.000,.000,.000,.000,.00,24.182955137
03/02/2017 04,03/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61882.097019,8.944190609,2851.054966,.00,.00,14.100094570,1998.475777017,.00,.000,.000,.000,.000,.000,.00,14.100045688
03/02/2017 05,03/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63781.616063,9.177951790,2889.444587,.00,.00,14.517059897,2009.614238384,.00,.000,.000,.000,.000,.000,.00,14.517059897
03/02/2017 06,03/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.59,68323.532095,8.894880585,1595.228694,.00,.00,14.100083956,1065.507950778,.00,.000,.000,.000,.000,.000,.00,14.100035569
03/02/2017 07,03/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),13.72,75964.903986,187.216144251,1029.246700,5815.45,192.20,297.884104947,695.117789715,.00,.000,91.960,.000,.000,.000,.00,297.884014377
03/02/2017 08,03/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79869.210977,487.231131117,996.384157,1337.99,2262.98,786.524052438,723.907780842,.00,.000,64.241,.000,.000,.000,.00,786.524029464
03/02/2017 09,03/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80322.588005,566.709725797,1141.223796,4585.62,.00,894.933026650,791.710429121,.00,.000,165.533,.000,.000,.000,.00,894.933001064
03/02/2017 10,03/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79798.992977,598.886015772,1025.993849,5716.44,.00,946.774975111,737.334361325,.00,.000,217.375,.000,.000,.000,.00,946.774975111
03/02/2017 11,03/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79432.861979,533.507529725,899.133047,5361.39,.00,833.349995511,616.203198832,.00,.000,187.350,.000,.000,.000,.00,833.349995511
03/02/2017 12,03/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78695.159075,401.061679055,1126.121408,2800.91,.00,635.058020261,797.352935743,.00,.000,32.058,.000,.000,.000,.00,635.058020261
03/02/2017 13,03/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),2.12,77964.862012,430.285695420,920.702362,2060.02,.00,677.900013212,642.098043428,.00,.000,31.900,.000,.000,.000,.00,677.900013212
03/02/2017 14,03/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),1.52,77603.116936,445.298438157,1157.755827,668.93,1197.46,711.466983233,848.950301275,.00,.000,73.533,.000,.000,.000,.00,711.466956992
03/02/2017 15,03/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77109.572946,406.723649624,1458.149745,1096.96,1864.83,652.883076737,1055.033133555,.00,.000,31.900,.000,.000,.000,.00,652.883015008
03/02/2017 16,03/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76712.332946,272.822261763,1417.613336,503.67,86.23,429.493946032,950.381104297,.00,.000,31.900,57.869,.000,.000,.00,429.493946032
03/02/2017 17,03/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),1.22,77970.942009,211.132367042,1158.297124,35.91,.00,336.908083411,773.203794650,.00,.000,36.675,.000,.000,.000,.00,336.907984866
03/02/2017 18,03/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),5.90,80260.274047,369.964369626,774.489143,220.46,.00,599.135006096,521.214436247,.00,.000,197.135,.000,.000,.000,.00,599.135006096
03/02/2017 19,03/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),6.69,84592.568940,420.866702510,550.529730,1072.54,.00,726.224006733,462.910397443,.00,.000,81.557,.000,.000,.000,.00,726.224006733
