Impact Metrics File
state-of-health,initial value,final value,degredation cost
battery-0,100.0,99.99017254287075,0.5896474277548691
battery-1,100.0,99.99022222834951,0.5866662990294458
battery-2,100.0,99.99017254287075,0.5896474277548691
battery-3,100.0,99.99050034345966,0.569979392420521
battery-4,100.0,99.99017254287075,0.5896474277548691
battery-5,100.0,99.99017254287075,0.5896474277548691
battery-6,100.0,99.99034148501646,0.5795108990125186
battery-7,100.0,99.99017254287075,0.5896474277548691
battery-8,100.0,99.99017254287075,0.5896474277548691
battery-9,100.0,99.99034527308376,0.5792836149743152
battery-10,100.0,99.99017254287075,0.5896474277548691
battery-11,100.0,99.99018074629407,0.5891552223556573
battery-12,100.0,99.99017254287075,0.5896474277548691
battery-13,100.0,99.99017254287075,0.5896474277548691
battery-14,100.0,99.99017254287075,0.5896474277548691
battery-15,100.0,99.99017254287075,0.5896474277548691
battery-16,100.0,99.99017254287075,0.5896474277548691
battery-17,100.0,99.9903813052301,0.577121686193891
battery-18,100.0,99.99026417941005,0.5841492353971489
battery-19,100.0,99.99017254287075,0.5896474277548691
battery-20,100.0,99.99017254287075,0.5896474277548691
battery-21,100.0,99.99017254287075,0.5896474277548691
battery-22,100.0,99.99017254287075,0.5896474277548691
battery-23,100.0,99.99017254287075,0.5896474277548691
battery-24,100.0,99.99061020083926,0.563387949644607
battery-25,100.0,99.99056884736017,0.5658691583900577
battery-26,100.0,99.99041001987219,0.5753988076688188
battery-27,100.0,99.99034687100755,0.5791877395472511
battery-28,100.0,99.99051401348052,0.569159191168751
battery-29,100.0,99.99017254287075,0.5896474277548691
Total degredation cost:,17.532522895390628
