,8/1/2017,8/2/2017
16:04:46,-0.999977991,-0.959589029
16:04:48,-0.999977801,-0.962174645
16:04:50,-0.999977705,-0.964725386
16:04:52,-0.999977515,-0.967372582
16:04:54,-0.999977324,-0.970073398
16:04:56,-0.999977134,-0.970410516
16:04:58,-0.999976943,-0.975493567
16:05:00,-0.999976753,-0.978942347
16:05:02,-0.999976657,-0.97933298
16:05:04,-0.999976467,-0.985173944
16:05:06,-0.999976276,-0.988978797
16:05:08,-0.999976086,-0.992471563
16:05:10,-0.999975895,-0.995908089
16:05:12,-0.999975705,-0.999286178
16:05:14,-0.999975609,-0.999965021
16:05:16,-0.999975419,-1
16:05:18,-0.999975228,-1
16:05:20,-0.999975038,-1
16:05:22,-0.999974847,-1
16:05:24,-0.999974752,-1
16:05:26,-0.999974561,-1
16:05:28,-0.999974371,-1
16:05:30,-0.99997418,-1
16:05:32,-0.99997399,-1
16:05:34,-0.999973799,-1
16:05:36,-0.999973704,-1
16:05:38,-0.999973513,-1
16:05:40,-0.999973323,-1
16:05:42,-0.999973132,-1
16:05:44,-0.999972942,-1
16:05:46,-0.999972846,-1
16:05:48,-0.999972656,-1
16:05:50,-0.999972465,-1
16:05:52,-0.999972275,-1
16:05:54,-0.999972084,-1
16:05:56,-0.999971894,-1
16:05:58,-0.999971798,-1
16:06:00,-0.999971608,-1
16:06:02,-0.999971417,-1
16:06:04,-0.999971227,-1
16:06:06,-0.999971036,-1
16:06:08,-0.999970846,-1
16:06:10,-0.99997075,-0.999856838
16:06:12,-0.99997056,-0.999505686
16:06:14,-0.999970369,-0.999029491
16:06:16,-0.999970179,-0.998429717
16:06:18,-0.999969988,-0.997677878
16:06:20,-0.999969893,-0.996769472
16:06:22,-0.999969702,-0.99665333
16:06:24,-0.999969512,-0.994581402
16:06:26,-0.999969321,-0.99293383
16:06:28,-0.999969131,-0.991252535
16:06:30,-0.99996894,-0.989467456
16:06:32,-0.999968845,-0.98761954
16:06:34,-0.999968654,-0.985701876
16:06:36,-0.999968464,-0.98372703
16:06:38,-0.999968273,-0.981651227
16:06:40,-0.999968083,-0.979553536
16:06:42,-0.999967988,-0.977439927
16:06:44,-0.999967797,-0.975230701
16:06:46,-0.999967606,-0.972870878
16:06:48,-0.999967416,-0.970415124
16:06:50,-0.999967225,-0.967873075
16:06:52,-0.999967035,-0.967529464
16:06:54,-0.99996694,-0.96516566
16:06:56,-0.999966749,-0.962394886
16:06:58,-0.999966559,-0.956868419
16:07:00,-0.999966368,-0.953372826
16:07:02,-0.999966177,-0.950223148
16:07:04,-0.999965987,-0.946979111
16:07:06,-0.999965892,-0.943583951
16:07:08,-0.999965701,-0.940063119
16:07:10,-0.999965511,-0.936435779
16:07:12,-0.99996532,-0.932710205
16:07:14,-0.999965129,-0.928935409
16:07:16,-0.999965034,-0.925145637
16:07:18,-0.999964844,-0.921378171
16:07:20,-0.999964653,-0.91762254
16:07:22,-0.999964463,-0.913817687
16:07:24,-0.999964272,-0.909953035
16:07:26,-0.999964081,-0.905993081
16:07:28,-0.999963986,-0.901958037
16:07:30,-0.999963796,-0.897893355
16:07:32,-0.999963605,-0.897371289
16:07:34,-0.999963415,-0.890308051
16:07:36,-0.999963224,-0.885845928
16:07:38,-0.999963129,-0.885344074
16:07:40,-0.999962938,-0.87851354
16:07:42,-0.999962748,-0.874136457
16:07:44,-0.999962557,-0.870412977
16:07:46,-0.999962367,-0.86670086
16:07:48,-0.999962176,-0.86295366
16:07:50,-0.999962081,-0.862484585
16:07:52,-0.99996189,-0.855848792
16:07:54,-0.9999617,-0.851598219
16:07:56,-0.999961509,-0.851138099
16:07:58,-0.999961319,-0.844653062
16:08:00,-0.999961128,-0.840505383
16:08:02,-0.999961033,-0.836885374
16:08:04,-0.999960842,-0.833324955
16:08:06,-0.999960652,-0.829897592
16:08:08,-0.999960461,-0.826610302
16:08:10,-0.999960271,-0.823469788
16:08:12,-0.999960175,-0.820462906
16:08:14,-0.999959985,-0.817614529
16:08:16,-0.999959794,-0.814824066
16:08:18,-0.999959604,-0.811999514
16:08:20,-0.999959413,-0.80928236
16:08:22,-0.999959223,-0.806615319
16:08:24,-0.999959127,-0.804113537
16:08:26,-0.999958937,-0.801728841
16:08:28,-0.999958746,-0.799484898
16:08:30,-0.999958556,-0.797394643
16:08:32,-0.999958365,-0.795512324
16:08:34,-0.999958175,-0.793728397
16:08:36,-0.999958079,-0.792044432
16:08:38,-0.999957889,-0.790471006
16:08:40,-0.999957698,-0.789058338
16:08:42,-0.999957508,-0.787794644
16:08:44,-0.999957317,-0.786634473
16:08:46,-0.999957222,-0.78557615
16:08:48,-0.999957031,-0.784705865
16:08:50,-0.999956841,-0.784016235
16:08:52,-0.99995665,-0.783542814
16:08:54,-0.99995646,-0.783250939
16:08:56,-0.999956269,-0.783217007
16:08:58,-0.999956174,-0.78308636
16:09:00,-0.999955983,-0.783066985
16:09:02,-0.999955793,-0.783234392
16:09:04,-0.999955602,-0.783259317
16:09:06,-0.999955412,-0.783373837
16:09:08,-0.999955317,-0.783589052
16:09:10,-0.999955126,-0.783634241
16:09:12,-0.999954935,-0.783576694
16:09:14,-0.999954745,-0.783403422
16:09:16,-0.999954554,-0.783063425
16:09:18,-0.999954364,-0.782526225
16:09:20,-0.999954269,-0.782452863
16:09:22,-0.999954078,-0.780986889
16:09:24,-0.999953888,-0.779829179
16:09:26,-0.999953697,-0.779690834
16:09:28,-0.999953506,-0.777547744
16:09:30,-0.999953316,-0.776045848
16:09:32,-0.999953221,-0.77461171
16:09:34,-0.99995303,-0.773082794
16:09:36,-0.99995284,-0.771476065
16:09:38,-0.999952649,-0.769784036
16:09:40,-0.999952458,-0.769548452
16:09:42,-0.999952363,-0.766361281
16:09:44,-0.999952173,-0.765899067
16:09:46,-0.999951982,-0.76243086
16:09:48,-0.999951792,-0.760209591
16:09:50,-0.999951601,-0.758294807
16:09:52,-0.999951411,-0.756410341
16:09:54,-0.999951315,-0.754529279
16:09:56,-0.999951125,-0.754279452
16:09:58,-0.999950934,-0.751123595
16:10:00,-0.999950744,-0.749163254
